cedula,constante,BM2,BM2orig,rmo_mayor_venc_dispromax,rmo_promed_venc_dispromax,Hombre,DR_nro_cargas,Edad,salario,Primaria,Secundaria,Universitaria,Sindato_educ,policia,cabo2do,cabo1ero,sgto_y_subof,oficiales,pensionadojubilado,otrasprofesiones,casado,divorciado,separado,soltero,union_libre,viudo,consumo,vivienda,micro,rmo_monto_entregado,rmo_plazo,producto,SaldosHoyXVCONS,SaldosHoyVencCONS,SaldosHoyCastCONS,SaldosHoyDemCONS,SaldosHoyXVVIV,SaldosHoyVencVIV,SaldosHoyCastVIV,SaldosHoyDemVIV,SaldosHoyXVMIC,SaldosHoyVencMIC,SaldosHoyCastMIC,SaldosHoyDemMIC,SaldosHoyXVTC,SaldosHoyVencTC,SaldosHoyCastTC,SaldosHoyDemTC,SaldosHoyXVSS,SaldosHoyVencSS,SaldosHoyCastSS,SaldosHoyDemSS,NroTCActivasHoy,NroCredConsumoHoy,SaldosFinancieroHoy,SaldosFinanciero3M,CuotasFinancieroHoy,CuotasTCHoy,CuotasSSHoy,NroOpFinancieroHoy,NroOpFinanciero12M,EstCartBancosAlDia,EstCartBancos.30castodem,EstCartBancosHis.30castodem,EstCartCoopRegHoy,EstCartCoopReg.30castodem,EstCartCoopregHis.30castodem,EstCartCoopNoRegHoy,EstCartCoopNoReg.30castodem,EstCartHisCoopNoReg.30ocastodem,EstCartOtrIFISHoy,EstCartOtrIFIS.30castodem,EstCartHisOtrIFIS.30castodem,EstCartSSAlDia,EstCartSSMora.30castodem,EstCartHisSS.30castodem,EstCartBancosAlDiatiene,EstCartBancos.30castodemtiene,EstCartBancosHis.30castodemtiene,EstCartCoopRegHoytiene,EstCartCoopReg.30castodemtiene,EstCartCoopregHis.30castodemtiene,EstCartCoopNoRegHoytiene,EstCartCoopNoReg.30castodemtiene,EstCartHisCoopNoReg.30ocastodemtiene,EstCartOtrIFISHoytiene,EstCartOtrIFIS.30castodemtiene,EstCartHisOtrIFIS.30castodemtiene,EstCartSSAlDiatiene,EstCartSSMora.30castodemtiene,EstCartHisSS.30castodemtiene,Tieneretrasohoy,tieneretrasohis,tieneretraso,tienessaldovencidohoy,salariomas1000,decil,PRE_1,saldo_tot31122012,saldo_ven31122012,saldoAlCorte
A33,1,1,1,10,5,0,2,46,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,5000,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil2,0.82584,0,0,5000
A34,1,1,1,9,4,1,1,24,766.29,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,5000,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil5,0.89079,0,0,5000
A35,1,1,1,9,4,1,1,26,488.61,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,5000,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil4,0.87322,0,0,5000
A36,1,1,1,10,2,1,0,31,450.39,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1100,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2343.46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil6,0.90209,0,0,1100
A37,1,1,1,14,3,1,2,31,556.7,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,5000,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3919.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil5,0.88668,0,0,5000
A38,1,1,1,10,3,1,0,25,327.32,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,500,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil10,0.94416,0,0,500
A39,1,1,1,14,5,1,1,29,472.65,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,5000,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil4,0.87322,0,0,5000
A40,1,1,1,10,4,1,0,28,224.62,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,400,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1078.66,0,0,118.63,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil8,0.91604,0,0,400
A41,1,1,1,13,3,1,2,38,639.45,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,100,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.44,0,0,173.71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,decil2,0.80203,0,0,100
A42,1,1,1,9,4,1,0,23,357.87,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,2000,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil5,0.89438,0,0,2000
A43,1,1,1,9,5,1,1,28,638.77,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,505,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil10,0.93096,0,0,505
A44,1,1,1,14,2,1,0,30,476.2,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,5000,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3431.95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,decil1,0.78664,0,0,5000
A45,1,1,1,9,5,0,2,41,451.26,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,5000,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil7,0.91207,0,0,5000
A46,1,1,1,9,4,1,1,26,488.61,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,550,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil7,0.91311,0,0,550
A47,1,1,1,10,4,1,0,27,899.78,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,4000,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil8,0.91603,0,0,4000
A48,1,1,1,9,2,1,6,42,247.86,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,3000,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,decil1,0.71422,0,0,3000
A49,1,1,1,8,3,1,2,26,607.8,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,790,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil5,0.89127,0,0,790
