PET2017,VAB2017_NP,VAB2017,Inversion_Pub,Inversion_Priv,PEA2017,POB2017
1929,13677668.1088143,13677668.1088143,1531816.4932,111800,1691.17808219178,2842
13440,170774522.043673,170774522.043673,6038444.7309,1312433,10782.202247191,18963
74594,421694169.823575,828616495.877131,10499410.68,3839215,48506.7631578947,111956
6320,20714351.9216691,20714351.9216691,2370942.0866,1600,3826.78899082569,9706
8855,12179279.7024635,125887526.421303,1177743.35565,800,5241.75287356322,14188
36347,178162249.500399,372508542.224048,11348043.47837,41193,22536.6576200418,54200
2563,7394384.17798063,7394384.17798063,440921.547,1,,3737
8992,25629904.7019155,25629904.7019155,1294508.18,1,5138.28571428571,14442
4758,21685008.7232018,128069321.608189,2490079.46,11600,3294,7270
53995,215125683.843961,878803306.424934,26118235.2628,2583099,37971.3039568345,88106
2395,11888485.6321665,11888485.6321665,2502463.5454,800,1995.83333333333,4040
24946,151197790.668702,2986320718.55158,5476011.4234,621312,18670.6674968867,39453
13165,58338767.3329414,58338767.3329414,8105214.9333,3601,10908.1428571429,23854
297968,1764299100.43894,1764299100.43894,32691516.50014,8975264,193005.126500462,434849
32401,121913902.387246,121913902.387246,30064172.0824,40148,23009.4057971015,50241
118143,417373082.275698,479621071.233822,11444252.5437,10617958,68774.6536082474,176373
75014,329570599.016129,557545071.400722,9242068.98,196475,48133.1746442432,112282
58219,321671376.494761,321671376.494761,5168848.269,354704,33813.1692073171,86991
