Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201603,March 2016,2,0,1,Imports,218,Ecuador,,152,Chile,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,163813,,,0
HS,2016,201601,January 2016,2,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,01,Animals; live,0,,,,,,,,1975034,,,0
HS,2016,201601,January 2016,2,0,1,Imports,218,Ecuador,,56,Belgium,,,,,,,,,01,Animals; live,0,,,,,,,,11522,,,0
HS,2016,201601,January 2016,2,0,1,Imports,218,Ecuador,,76,Brazil,,,,,,,,,01,Animals; live,0,,,,,,,,472573,,,0
HS,2016,201601,January 2016,2,0,1,Imports,218,Ecuador,,528,Netherlands,,,,,,,,,01,Animals; live,0,,,,,,,,23440,,,0
HS,2016,201601,January 2016,2,0,1,Imports,218,Ecuador,,604,Peru,,,,,,,,,01,Animals; live,0,,,,,,,,1052262,,,0
HS,2016,201601,January 2016,2,0,1,Imports,218,Ecuador,,842,United States of America,,,,,,,,,01,Animals; live,0,,,,,,,,415237,,,0
HS,2016,201602,February 2016,2,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,01,Animals; live,0,,,,,,,,2430010,,,0
HS,2016,201602,February 2016,2,0,1,Imports,218,Ecuador,,76,Brazil,,,,,,,,,01,Animals; live,0,,,,,,,,459282,,,0
HS,2016,201602,February 2016,2,0,1,Imports,218,Ecuador,,152,Chile,,,,,,,,,01,Animals; live,0,,,,,,,,1459262,,,0
HS,2016,201602,February 2016,2,0,1,Imports,218,Ecuador,,484,Mexico,,,,,,,,,01,Animals; live,0,,,,,,,,401,,,0
HS,2016,201602,February 2016,2,0,1,Imports,218,Ecuador,,528,Netherlands,,,,,,,,,01,Animals; live,0,,,,,,,,18530,,,0
HS,2016,201602,February 2016,2,0,1,Imports,218,Ecuador,,591,Panama,,,,,,,,,01,Animals; live,0,,,,,,,,426,,,0
HS,2016,201602,February 2016,2,0,1,Imports,218,Ecuador,,604,Peru,,,,,,,,,01,Animals; live,0,,,,,,,,488657,,,0
HS,2016,201602,February 2016,2,0,1,Imports,218,Ecuador,,842,United States of America,,,,,,,,,01,Animals; live,0,,,,,,,,2922,,,0
HS,2016,201602,February 2016,2,0,1,Imports,218,Ecuador,,862,Venezuela,,,,,,,,,01,Animals; live,0,,,,,,,,529,,,0
HS,2016,201603,March 2016,2,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,01,Animals; live,0,,,,,,,,1835404,,,0
HS,2016,201603,March 2016,2,0,1,Imports,218,Ecuador,,32,Argentina,,,,,,,,,01,Animals; live,0,,,,,,,,23180,,,0
HS,2016,201603,March 2016,2,0,1,Imports,218,Ecuador,,56,Belgium,,,,,,,,,01,Animals; live,0,,,,,,,,4939,,,0
HS,2016,201603,March 2016,2,0,1,Imports,218,Ecuador,,76,Brazil,,,,,,,,,01,Animals; live,0,,,,,,,,860184,,,0
HS,2016,201603,March 2016,2,0,1,Imports,218,Ecuador,,192,Cuba,,,,,,,,,01,Animals; live,0,,,,,,,,219,,,0
HS,2016,201603,March 2016,2,0,1,Imports,218,Ecuador,,528,Netherlands,,,,,,,,,01,Animals; live,0,,,,,,,,20117,,,0
HS,2016,201603,March 2016,2,0,1,Imports,218,Ecuador,,604,Peru,,,,,,,,,01,Animals; live,0,,,,,,,,923794,,,0
HS,2016,201603,March 2016,2,0,1,Imports,218,Ecuador,,842,United States of America,,,,,,,,,01,Animals; live,0,,,,,,,,2971,,,0
HS,2016,201604,April 2016,2,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,01,Animals; live,0,,,,,,,,1704140,,,0
HS,2016,201604,April 2016,2,0,1,Imports,218,Ecuador,,32,Argentina,,,,,,,,,01,Animals; live,0,,,,,,,,299311,,,0
HS,2016,201604,April 2016,2,0,1,Imports,218,Ecuador,,36,Australia,,,,,,,,,01,Animals; live,0,,,,,,,,551,,,0
HS,2016,201604,April 2016,2,0,1,Imports,218,Ecuador,,76,Brazil,,,,,,,,,01,Animals; live,0,,,,,,,,584366,,,0
HS,2016,201604,April 2016,2,0,1,Imports,218,Ecuador,,152,Chile,,,,,,,,,01,Animals; live,0,,,,,,,,154750,,,0
HS,2016,201604,April 2016,2,0,1,Imports,218,Ecuador,,170,Colombia,,,,,,,,,01,Animals; live,0,,,,,,,,177793,,,0
HS,2016,201604,April 2016,2,0,1,Imports,218,Ecuador,,484,Mexico,,,,,,,,,01,Animals; live,0,,,,,,,,372,,,0
HS,2016,201604,April 2016,2,0,1,Imports,218,Ecuador,,528,Netherlands,,,,,,,,,01,Animals; live,0,,,,,,,,13653,,,0
HS,2016,201604,April 2016,2,0,1,Imports,218,Ecuador,,604,Peru,,,,,,,,,01,Animals; live,0,,,,,,,,433680,,,0
HS,2016,201604,April 2016,2,0,1,Imports,218,Ecuador,,724,Spain,,,,,,,,,01,Animals; live,0,,,,,,,,779,,,0
HS,2016,201604,April 2016,2,0,1,Imports,218,Ecuador,,842,United States of America,,,,,,,,,01,Animals; live,0,,,,,,,,38885,,,0
HS,2016,201605,May 2016,2,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,01,Animals; live,0,,,,,,,,3070580,,,0
HS,2016,201605,May 2016,2,0,1,Imports,218,Ecuador,,76,Brazil,,,,,,,,,01,Animals; live,0,,,,,,,,1277239,,,0
HS,2016,201605,May 2016,2,0,1,Imports,218,Ecuador,,170,Colombia,,,,,,,,,01,Animals; live,0,,,,,,,,133750,,,0
HS,2016,201605,May 2016,2,0,1,Imports,218,Ecuador,,484,Mexico,,,,,,,,,01,Animals; live,0,,,,,,,,36176,,,0
HS,2016,201605,May 2016,2,0,1,Imports,218,Ecuador,,528,Netherlands,,,,,,,,,01,Animals; live,0,,,,,,,,11819,,,0
HS,2016,201605,May 2016,2,0,1,Imports,218,Ecuador,,600,Paraguay,,,,,,,,,01,Animals; live,0,,,,,,,,719500,,,0
