nivelIngresos,Frecuencia,sumValTot
5.04342511691925,6,257.32
5.01063529409626,12,2666.81
8.26873183211774,6,787.01
7.0475172213573,1,0.02
7.10055508006372,35,4771.1
6.87638844323264,24,2171.98
7.11783790656148,16,2023.49
6.42160600751172,19,1281.72
6.76279886868815,21,1858.99
7.51860721681525,7,565.11
6.89368678010326,7,2160.48
8.16051824747751,6,971.57
5.06259503302697,28,955.8
6.8014387509345,32,1591.32
9.21034037197618,4,1046.43
6.88038408218601,5,989.26
6.58968272520629,9,3226.53
7.09007683577609,8,701.87
6.46497763598999,6,472.19
7.13089883029635,22,2424.27
8.01912583374891,41,10592.71
7.89655270164304,2,0.03
6.94607173726634,37,1932
7.5595594960077,32,5160.92
7.60837447438078,15,4423.55
7.55311878868828,1,0.02
6.78233943743587,10,2868.74
6.69050681743145,15,1416.42
6.26490189347666,6,144.5
7.78322401633604,1,0.02
7.97246601597457,30,2349.67
6.70827942496811,20,1659.48
6.71819156093112,32,2085.26
6.92969288050004,21,7344.24
6.13218255404686,11,1075.89
7.36264527041783,5,937.48
7.57967882309046,4,1481.5
6.38585185567563,7,1595.41
7.57385495136033,2,740.65
5.01063529409626,2,19.71
7.00306545878646,4,252203.52
6.48157712927643,42,4977.76
6.56496915163753,5,395.39
5.18178355029209,15,294.27
6.5510803350434,1,0.02
7.46164039220858,7,1153.4
6.19699387482293,8,474.52
6.5510803350434,30,2615.55
8.14723903919774,9,1816.96
7.84499699814251,26,3284.14
7.8080182497791,16,3434.85
8.52018271832431,2,0.04
6.72623340235875,1,0.08
7.39369377124018,3,0.1
7.22614355341298,11,2943.27
6.70827942496811,36,1929.83
6.57426658716148,19,3222.12
7.09901179983367,6,8516.98
7.60924258381708,5,43.23
6.27902786250842,31,2010.22
6.69332366826995,27,2299.86
6.71819156093112,20,1955.52
6.70808408385307,16,1996.93
8.27129265297941,5,540.4
8.24692920615689,17,2593.59
6.70827942496811,17,3079.15
5.01063529409626,8,279.22
6.75773439313784,14,1860.96
6.77368659918757,21,7790.6
6.52941883826223,14,2066.93
6.4393503711001,15,1102.13
6.8084099689791,16,2383.01
8.48005191473555,20,24558.91
6.69410403285127,6,229.18
7.56998954089861,9,2026.71
6.84295005561602,20,1355.01
5.01063529409626,13,1685.68
6.39295510046074,17,1345.57
6.77992190747225,14,1906.95
6.95065191993444,23,7052.55
6.84331275323686,27,3287.9
6.39692965521615,2,7.02
6.72595758494812,26,2288.19
7.43070708254597,14,1532.93
6.70827942496811,1,0.02
7.36504720579511,6,184.29
6.82001636467413,4,142.65
5.06259503302697,13,272.46
6.75948726231303,31,7271.72
6.85646198459459,17,1751.26
7.53561165551068,14,1945.02
6.98720396410536,58,2894.65
7.29805937083135,19,3032.61
7.63819824428578,6,4600.05
6.58838988242292,13,2138.36
6.84331275323686,7,1794.95
6.74423584915078,17,4760.87
6.69038254442835,19,3439.05
5.62762111369064,13,286.01
6.77368659918757,11,1592.9
6.86119811980029,8,1580.67
5.01063529409626,11,1694.36
7.70285417182575,25,4801.29
6.70827942496811,13,1548.72
6.44811377697792,8,2681.51
7.21980308133567,41,3397.14
6.74523634948436,13,1271.91
6.49328474345891,25,4275.85
6.31994061368801,17,889.56
6.88550967003482,6,15352.15
9.50054426197147,9,6322.51
6.92964396423978,2,0.2
7.25134498337221,13,8878.52
7.32646561384032,37,3910.35
7.40433389438242,9,538.04
7.15732262645018,10,2033.61
5.04985600724954,19,8739.63
6.92853781816467,43,1091.82
8.41183267575841,23,4011.83
6.8613028801088,17,1674.94
7.00306545878646,2,1.02
7.19704605677333,10,2956.5
6.83840520084734,27,1925.62
6.75773439313784,17,1576.68
7.43838353004431,1,0.02
6.94200210437732,3,758.92
6.39692965521615,1,0.02
7.92682640085072,26,3596.39
6.74423584915078,5,480.04
7.47405723601676,15,3152.42
6.87638844323264,14,1984.39
7.15505276123844,19,2589.72
7.16345894932009,10,3091.8
6.59804570603833,11,1811.19
6.88346258641309,56,4045.95
7.81287990124355,2,19.71
7.29492741968398,23,5465.42
6.80829951811857,6,1445.94
6.62088620928737,25,875.14
6.97599319889819,17,2083.68
