Year;Mes;mesnum;Tipo;PARQUE_NACIONAL_CAJAS;PARQUE_NACIONAL_COTOPAXI;PARQUE_NACIONAL_GALAPAGOS;PARQUE_NACIONAL_LLANGANATES;PARQUE_NACIONAL_MACHALILLA;PARQUE_NACIONAL_PODOCARPUS;PARQUE_NACIONAL_SANGAY;PARQUE_NACIONAL_SUMACO;PARQUE_NACIONAL_YASUNI;RESERVA_BIOLOGICA_LIMONCOCHA;RESERVA_BIOLOGICA_MARINA_GALAPAGOS;RESERVA_ECOLOGICA_ANTISANA;RESERVA_ECOLOGICA_COFAN_BERMEJO;RESERVA_ECOLOGICA_ARENILLAS;RESERVA_ECOLOGICA_EL_ANGEL;RESERVA_ECOL._CAYAMBE_COCA;RESERVA_ECOL._CAYAPAS_MATAJE;RESERVA_ECOL._COTACACHI_CAYAPAS;RESERVA_ECOLOGICA_LOS_ILINIZAS;RESERVA_ECOL._MACHE_CHINDUL;RESERVA_ECOL._MANGLARES_CHURUTE;RESERVA_GEOBOTANICA_PULULAHUA;RESERVA_FAUNISTICA_CHIMBORAZO;RESERVA_FAUNISTICA_CUYABENO;RESERVA_FAUNISTICA_MANGLARES_SALADO;REFUGIO_DE_VIDA_SILVESTRE_ISLA_CORAZON_Y_FRAGATAS;REFUGIO_DE_VIDA_SILVESTRE_ISLA_SANTA_CLARA;REFUGIO_DE_VIDA_SILVESTRE_LA_CHIQUITA;REFUGIO_DE_VIDA_SILVESTRE_MANGLES_ESTURIO_RIO_MUISNE;REFUGIO_DE_VIDA_SILVESTRE_PASOCHOA;AREA_NACIONAL_DE_RECREACION_PARQUE_LAGO;AREA_NACIONAL_RECREACION_BOLICHE;PARQUE_EL_CONDOR;TOTALMENSUAL
2007;Jun;6;Nac;1609;3741;4382;0;1548;232;54;0;0;0;0;0;0;0;35;272;0;6978;7;0;337;497;569;112;0;0;0;0;0;1243;0;1387;0;23003
2007;Jun;6;Extrj;942;2904;9212;0;664;36;6;0;1962;28;0;9;0;0;21;18;0;1629;66;0;2;10;454;359;0;0;0;0;0;70;0;16;0;18408
2007;Jul;7;Nac;2358;7163;5381;24;2853;313;205;2;0;111;0;40;0;0;108;302;0;9958;158;0;457;1131;856;270;0;0;0;0;0;1419;0;1142;0;34251
2007;Jul;7;Extrj;1267;4463;11262;3;1963;91;51;2;262;119;0;0;0;0;46;56;0;2321;113;0;18;84;1227;773;0;0;0;0;0;82;0;13;0;24216
2007;Ago;8;Nac;2975;6761;5717;58;3853;345;261;7;0;0;0;44;0;0;138;534;0;8171;65;0;380;680;750;341;0;0;0;0;0;1889;0;1073;0;34042
2007;Ago;8;Extrj;1659;5813;10084;0;1590;108;41;10;368;0;0;22;0;0;41;91;0;4888;148;0;4;116;1273;601;0;0;0;0;0;101;0;25;0;26983
2007;Sep;9;Nac;1564;4739;3161;58;2623;97;133;0;0;0;0;25;0;0;46;310;0;4448;15;0;115;620;240;102;0;0;0;0;0;547;0;535;0;19378
2007;Sep;9;Extrj;1089;2511;5782;0;579;70;23;0;165;0;0;0;0;0;35;91;0;2116;83;0;0;52;590;380;0;0;0;0;0;37;0;2;0;13605
2007;Oct;10;Nac;1666;5609;2873;99;1073;185;150;0;0;0;0;49;0;0;39;442;0;4665;12;0;;483;382;349;0;0;0;0;0;989;0;195;0;19260
2007;Oct;10;Extrj;1018;4538;9074;5;577;78;28;0;349;0;0;32;0;0;40;88;0;2195;69;0;;49;746;601;0;0;0;0;0;41;0;19;0;19547
2007;Nov;11;Nac;2185;4180;3582;40;934;294;135;15;0;24;0;65;0;0;45;755;0;5251;12;0;119;466;401;155;0;0;0;0;0;1218;0;696;0;20572
2007;Nov;11;Extrj;1288;4057;8550;0;590;99;30;0;576;44;0;32;0;0;44;88;0;2771;69;0;30;65;832;467;0;0;0;0;0;37;0;29;0;19698
2007;Dic;12;Nac;1378;3992;4065;128;1181;196;143;9;0;3;0;62;0;0;35;341;0;6863;40;0;183;606;310;134;0;0;0;0;0;607;0;583;0;20859
