NOM_PROV,COD_PROV,NOM_CANT,COD_CANT,PRODUCCION,CONSUMO_INTERMEDIO,VAB,YEAR,TIPO
GALÁPAGOS,20,Isabela,2002,22046.8395901594,8369.17148134508,13677.6681088143,2017,Provicional
GALÁPAGOS,20,Santa Cruz,2003,274171.877032443,103397.35498877,170774.522043673,2017,Provicional
SUCUMBÍOS,21,Lago Agrio,2101,657119.679673073,235425.509849498,421694.169823575,2017,Provicional
SUCUMBÍOS,21,Gonzalo Pizarro,2102,30413.6020252877,9699.25010361865,20714.3519216691,2017,Provicional
SUCUMBÍOS,21,Putumayo,2103,17724.1585909878,5544.8788885243,12179.2797024635,2017,Provicional
SUCUMBÍOS,21,Shushufindi,2104,276987.588229743,98825.3387293438,178162.249500399,2017,Provicional
SUCUMBÍOS,21,Sucumbíos,2105,10969.8040974253,3575.41991944471,7394.38417798063,2017,Provicional
SUCUMBÍOS,21,Cascales,2106,35867.4229481756,10237.5182462601,25629.9047019155,2017,Provicional
SUCUMBÍOS,21,Cuyabeno,2107,32407.0351470728,10722.0264238711,21685.0087232018,2017,Provicional
ORELLANA,22,Orellana,2201,333593.275818743,118467.591974783,215125.683843961,2017,Provicional
ORELLANA,22,Aguarico,2202,17620.6101759326,5732.12454376608,11888.4856321665,2017,Provicional
ORELLANA,22,La Joya De Los Sachas,2203,221094.108841096,69896.3181723934,151197.790668702,2017,Provicional
ORELLANA,22,Loreto,2204,86786.6184022755,28447.8510693341,58338.7673329414,2017,Provicional
SANTO DOMINGO,23,Santo Domingo,2301,2998729.39768053,1234430.2972416,1764299.10043894,2017,Provicional
SANTO DOMINGO,23,La Concordia,2302,187074.772578475,65160.8701912292,121913.902387246,2017,Provicional
SANTA ELENA,24,Santa Elena,2401,679767.099948944,262394.017673245,417373.082275698,2017,Provicional
SANTA ELENA,24,La Libertad,2402,512956.98132787,183386.382311742,329570.599016129,2017,Provicional
SANTA ELENA,24,Salinas,2403,519706.545952788,198035.169458028,321671.376494761,2017,Provicional
AZUAY,01,Cuenca,0101,8381849.80387435,3648343.08319519,4733506.72067917,2018,Provicional
AZUAY,01,Girón,0102,39653.2588056972,13830.2790138818,25822.9797918155,2018,Provicional
AZUAY,01,Gualaceo,0103,153703.165176365,57991.908640329,95711.2565360363,2018,Provicional
AZUAY,01,Nabón,0104,42519.3657096372,18072.8032595153,24446.5624501218,2018,Provicional
AZUAY,01,Paute,0105,121034.444539699,49890.8771542173,71143.5673854815,2018,Provicional
AZUAY,01,Pucará,0106,18861.70142324,6564.7041284201,12296.9972948199,2018,Provicional
AZUAY,01,San Fernando,0107,14143.4386093109,6290.3804695776,7853.05813973326,2018,Provicional
AZUAY,01,Santa Isabel,0108,81235.0046414203,31436.7664188838,49798.2382225365,2018,Provicional
