canton_codigo;canton_nombre;DPA_canton
660;CHINCHIPE;1902
130;NANGARITZA;1903
665;YACUAMBI;1904
670;YANTZAZA;1905
775;EL PANGUI;1906
980;CENTINELA DEL CONDOR;1907
661;PALANDA;1908
981;PAQUISHA;1909
800;SAN CRISTOBAL;2001
810;ISABELA;2002
805;SANTA CRUZ;2003
625;LAGO AGRIO;2101
865;GONZALO PIZARRO;2102
650;PUTUMAYO;2103
720;SHUSHUFINDI;2104
640;SUCUMBIOS;2105
745;CASCALES;2106
626;CUYABENO;2107
645;FRANCISCO DE ORELLANA;2201
630;AGUARICO;2202
725;LA JOYA DE LOS SACHAS;2203
935;LORETO;2204
85;SANTO DOMINGO;2301
982;LA CONCORDIA;2302
410;SANTA ELENA;2401
965;LA LIBERTAD;2402
405;SALINAS;2403
