CODIGO;NOM_CANT;A_2010;A_2011;A_2012;A_2013;A_2014;A_2015;A_2016;A_2017;A_2018;A_2019;A_2020;SuperficieKM2
1603;SANTA CLARA;3697;3747;3796;3844;3892;3937;3983;4027;4069;4110;4150;313.58
1604;ARAJUNO;6711;6852;6996;7139;7281;7424;7566;7708;7849;7989;8128;8869.47
1701;QUITO;2319671;2365973;2412427;2458900;2505344;2551721;2597989;2644145;2690150;2735987;2781641;4217.95
1702;CAYAMBE;88840;90709;92587;94470;96356;98242;100129;102015;103899;105781;107660;1190.57
1703;MEJIA;84011;86299;88623;90974;93353;95759;98193;100650;103132;105637;108167;1484.52
1704;PEDRO MONCAYO;34292;35155;36030;36912;37802;38700;39604;40514;41431;42353;43281;337.98
1705;RUMIÑAHUI;88635;91153;93714;96311;98943;101609;104311;107043;109807;112603;115433;135.91
1707;SAN MIGUEL DE LOS BANCOS;17957;18931;19953;21020;22136;23303;24524;25798;27128;28517;29969;850.15
1708;PEDRO VICENTE MALDONADO;13350;13712;14080;14452;14828;15209;15594;15983;16375;16771;17171;623.95
1709;PUERTO QUITO;21197;21577;21956;22334;22710;23084;23455;23823;24189;24551;24911;694.88
1801;AMBATO;342529;346973;351477;356009;360544;365072;369578;374068;378523;382941;387309;1018.32
1802;BAÑOS;20730;21139;21555;21978;22406;22838;23273;23712;24153;24598;25043;1065.82
1803;CEVALLOS;8464;8606;8750;8896;9043;9191;9340;9489;9638;9787;9936;18.96
1804;MOCHA;7062;7093;7125;7156;7186;7214;7241;7268;7292;7315;7336;85.82
1805;PATATE;14016;14196;14378;14561;14745;14928;15109;15291;15471;15649;15825;316.44
1806;QUERO;20020;20092;20164;20235;20303;20368;20429;20485;20538;20586;20627;173.81
1807;SAN PEDRO DE PELILEO;58731;59531;60343;61160;61978;62797;63613;64427;65236;66039;66836;201.55
1808;SANTIAGO DE PILLARO;39895;40255;40617;40979;41338;41693;42042;42386;42722;43051;43371;446.51
1809;TISALEO;12601;12770;12942;13116;13289;13462;13635;13807;13978;14148;14317;59.02
1901;ZAMORA;26602;27231;27857;28485;29112;29735;30355;30968;31573;32172;32761;1898.1
1902;CHINCHIPE;9547;9679;9807;9932;10053;10170;10283;10390;10492;10588;10679;1156.25
1903;NANGARITZA;5376;5609;5849;6096;6350;6611;6879;7153;7434;7721;8014;2023.38
1904;YACUAMBI;6098;6209;6318;6426;6533;6638;6740;6840;6936;7030;7121;1254.34
1905;YANTZAZA;19392;20054;20727;21411;22106;22810;23525;24246;24973;25708;26447;1014.29
1906;EL PANGUI;8992;9194;9395;9595;9795;9992;10189;10382;10573;10761;10945;631.24
1907;CENTINELA DEL CONDOR;6757;6916;7074;7233;7391;7549;7706;7861;8013;8165;8313;261.65
1908;PALANDA;8444;8622;8799;8975;9149;9322;9493;9660;9825;9986;10144;1991.27
1909;PAQUISHA;3986;4162;4344;4531;4724;4922;5126;5335;5549;5768;5992;353.76
2001;SAN CRISTOBAL;7707;7899;8095;8293;8493;8693;8890;9085;9278;9473;9667;848.5
2002;ISABELA;2321;2392;2464;2538;2614;2690;2765;2842;2918;2995;3073;5367.5
2003;SANTA CRUZ;15856;16285;16725;17169;17619;18070;18517;18963;19404;19852;20302;1794
2101;LAGO AGRIO;94242;96741;99254;101780;104317;106863;109408;111956;114503;117048;119594;3142.69
2102;GONZALO PIZARRO;8876;9005;9130;9252;9371;9487;9599;9706;9811;9911;10007;2229.23
2103;PUTUMAYO;10364;10856;11366;11894;12440;13004;13587;14188;14808;15446;16106;3575.25
2104;SHUSHUFINDI;45529;46750;47979;49215;50456;51703;52951;54200;55449;56698;57949;2470.42
2105;SUCUMBIOS;3505;3543;3579;3614;3647;3679;3709;3737;3763;3788;3811;1511.27
2106;CASCALES;11361;11775;12199;12631;13072;13521;13977;14442;14914;15394;15882;1249.71
2107;CUYABENO;7410;7402;7389;7373;7353;7329;7301;7270;7235;7196;7154;3905.85
2201;ORELLANA;73243;75496;77710;79879;82001;84080;86117;88106;90044;91933;93778;7079.39
2202;AGUARICO;4992;4863;4729;4594;4457;4318;4179;4040;3902;3765;3629;11259.76
2203;LA JOYA DE LOS SACHAS;38162;38494;38774;39003;39182;39317;39405;39453;39457;39423;39352;1202.19
2204;LORETO;21389;21810;22208;22582;22933;23262;23568;23854;24117;24358;24579;2150.76
2301;SANTO DOMINGO DE LOS TSACHILAS;379378;387229;395133;403063;411009;418957;426910;434849;442788;450694;458580;3446.65
2401;SANTA ELENA;148475;152340;156253;160203;164196;168219;172278;176373;180494;184642;188821;3597.02
2402;LIBERTAD;99151;101040;102928;104812;106694;108565;110426;112282;114123;115952;117767;24.98
2403;SALINAS;70621;72835;75095;77393;79734;82112;84531;86991;89485;92017;94590;68.17
9001;LAS GOLONDRINAS;5502;5692;5887;6086;6290;6497;6710;6926;7146;7370;7598;124.86
9003;MANGA DEL CURA;21646;22130;22617;23106;23598;24091;24585;25078;25569;26061;26548;488.04
9004;EL PIEDRERO;6606;6725;6844;6961;7079;7196;7312;7426;7540;7651;7761;170.19
