CANTON_CODIGO,VOTOS_DANIEL_23,VOTOS_LUISA_23,SUFRAGANTES_23,PORC_LUISA_23,PORC_DANIEL_23,VOTOS_DANIEL_25,VOTOS_LUISA_25,SUFRAGANTES_25,PORC_LUISA_25,PORC_DANIEL_25
0250,13210.0,18648.0,35165.0,0.5303000142186833,0.37565761410493387,15712.0,17017.0,35338.0,0.4815496066557247,0.4446205218178731
0251,0.0,0.0,0.0,,,,,,,
0255,3016.0,3354.0,6817.0,0.49200528091535867,0.44242335338125277,3303.0,3288.0,6975.0,0.47139784946236557,0.4735483870967742
0260,200626.0,118856.0,351228.0,0.33840126641383944,0.5712130012413589,219817.0,115362.0,364152.0,0.31679628287088907,0.6036407873635186
0261,9118.0,8832.0,19800.0,0.44606060606060605,0.46050505050505053,15061.0,8718.0,25265.0,0.345062339204433,0.5961211161686127
0265,12233.0,11100.0,26968.0,0.4115989320676357,0.4536116879264313,14377.0,9715.0,27169.0,0.3575766498582944,0.5291692738047039
0270,5130.0,2274.0,8235.0,0.2761384335154827,0.6229508196721312,5641.0,1978.0,8234.0,0.24022346368715083,0.6850862278358028
0271,19.0,9.0,29.0,0.3103448275862069,0.6551724137931034,25.0,12.0,39.0,0.3076923076923077,0.6410256410256411
0275,7752.0,7878.0,17835.0,0.4417157275021026,0.43465096719932717,8856.0,7256.0,18022.0,0.4026190211963156,0.49139940073243815
0280,7263.0,7930.0,17400.0,0.4557471264367816,0.4174137931034483,8807.0,6959.0,17552.0,0.39647903372835,0.5017661804922516
0281,251.0,86.0,344.0,0.25,0.7296511627906976,238.0,97.0,344.0,0.2819767441860465,0.6918604651162791
0285,7496.0,4819.0,13420.0,0.35909090909090907,0.5585692995529061,8363.0,4349.0,13560.0,0.3207227138643068,0.616740412979351
0290,13302.0,8241.0,22752.0,0.36220991561181437,0.5846518987341772,13699.0,7853.0,22754.0,0.34512613166915707,0.6020479915619231
0295,4119.0,4838.0,9359.0,0.5169355700395342,0.4401111229832247,4439.0,4396.0,9184.0,0.47865853658536583,0.4833405923344948
0300,115984.0,35200.0,159591.0,0.2205638162553026,0.7267577745612221,120236.0,36251.0,164259.0,0.2206941476570538,0.7319903323409981
0301,159.0,118.0,302.0,0.39072847682119205,0.5264900662251656,298.0,169.0,484.0,0.34917355371900827,0.6157024793388429
0305,11949.0,6851.0,20957.0,0.32690747721525026,0.5701674858042659,12343.0,6446.0,20643.0,0.3122608148040498,0.5979266579470038
0310,8983.0,6228.0,16242.0,0.3834503140007388,0.5530722817387022,8881.0,5993.0,15868.0,0.37767834635744896,0.559679858835392
0311,2498.0,1246.0,3970.0,0.31385390428211585,0.6292191435768262,2281.0,1152.0,3640.0,0.31648351648351647,0.6266483516483516
0312,185.0,42.0,234.0,0.1794871794871795,0.7905982905982906,314.0,63.0,384.0,0.1640625,0.8177083333333334
0315,4722.0,4578.0,9749.0,0.4695866242691558,0.4843573699866653,4883.0,4176.0,9445.0,0.4421386977236633,0.5169931180518793
0320,10917.0,5852.0,17686.0,0.3308831844396698,0.6172678955105734,11170.0,5550.0,17541.0,0.3164015734564734,0.6367937973889743
0321,34.0,6.0,40.0,0.15,0.85,41.0,8.0,51.0,0.1568627450980392,0.803921568627451
0325,7452.0,3987.0,11990.0,0.33252710592160134,0.6215179316096747,7484.0,4039.0,12006.0,0.33641512577044813,0.6233549891720807
0330,4702.0,6591.0,12047.0,0.5471071636091973,0.39030464015937577,4973.0,6047.0,11703.0,0.5167051183457233,0.4249337776638469
0331,229.0,62.0,302.0,0.2052980132450331,0.7582781456953642,371.0,97.0,491.0,0.1975560081466395,0.7556008146639511
0335,5365.0,3141.0,8956.0,0.35071460473425636,0.599039749888343,5451.0,3046.0,8893.0,0.3425165860789385,0.6129540087709434
0340,4009.0,5675.0,10302.0,0.5508639099204038,0.38914773830324206,3902.0,5402.0,9948.0,0.5430237233614797,0.39223964616003215
