fecha,numerador,denominador
2018-07-31T00:00:00Z,225078.93,20411732.39
2018-08-01T00:00:00Z,225078.93,20432172.99
2018-08-02T00:00:00Z,215079.01,20468241.61
2018-08-03T00:00:00Z,215079.01,20516103.47
2018-08-06T00:00:00Z,266986.74,20563943.8
2018-08-07T00:00:00Z,266986.74,20570593.8
2018-08-08T00:00:00Z,266986.74,20698816.09
2018-08-09T00:00:00Z,266986.74,20707599.15
2018-08-13T00:00:00Z,266986.74,20801183.22
2018-08-14T00:00:00Z,260551.24,20836564.47
2018-08-15T00:00:00Z,260551.24,20859906.21
2018-08-16T00:00:00Z,260454.8,20890434.74
2018-08-17T00:00:00Z,260454.8,20905244.31
2018-08-20T00:00:00Z,258451.03,20885822.56
2018-08-21T00:00:00Z,258364.92,20864333.89
2018-08-22T00:00:00Z,252198.41,20926792.56
2018-08-23T00:00:00Z,252198.41,20926684.9
2018-08-24T00:00:00Z,229412.16,20978901.97
2018-08-27T00:00:00Z,241328.78,21013719.87
2018-08-28T00:00:00Z,239245.41,21007716.63
2018-08-29T00:00:00Z,239245.41,21085833.87
2018-08-30T00:00:00Z,220874.22,21107180.63
2018-08-31T00:00:00Z,220874.22,20877021.66
2018-09-03T00:00:00Z,207775.41,20955160.63
2018-09-04T00:00:00Z,207775.41,20954237.6
2018-09-05T00:00:00Z,279309.44,20956340.37
2018-09-06T00:00:00Z,279309.44,20971672.14
2018-09-07T00:00:00Z,279309.44,20989595.9
2018-09-10T00:00:00Z,269476.19,20975200.22
2018-09-11T00:00:00Z,268028.72,20996095.03
2018-09-12T00:00:00Z,254195.67,21018883.16
2018-09-13T00:00:00Z,254195.67,21028241.63
2018-09-14T00:00:00Z,254195.67,21042979.03
2018-09-17T00:00:00Z,254195.67,21041951.38
2018-09-18T00:00:00Z,254195.67,21090205.87
2018-09-19T00:00:00Z,254195.67,21129032.73
2018-09-20T00:00:00Z,254195.67,21115591.86
2018-09-21T00:00:00Z,247601.72,21107343.3
2018-09-24T00:00:00Z,238190.74,21109265.67
2018-09-25T00:00:00Z,269648.27,21138523.85
2018-09-26T00:00:00Z,269648.27,21185102.42
2018-09-27T00:00:00Z,248642.36,21216556.51
2018-09-28T00:00:00Z,163755.15,21262004.23
2018-09-30T00:00:00Z,163755.15,21008231.17
2018-10-01T00:00:00Z,163438.58,21027544.78
2018-10-02T00:00:00Z,163438.58,21032801.65
2018-10-03T00:00:00Z,150261.29,21063271.21
2018-10-04T00:00:00Z,149789.09,21127875.24
2018-10-05T00:00:00Z,205801.75,21162479.52
2018-10-09T00:00:00Z,218118.16,21187749.4
2018-10-10T00:00:00Z,214118.16,21190890.3
2018-10-11T00:00:00Z,214118.16,21181720.71
2018-10-12T00:00:00Z,214118.16,21224080.99
2018-10-15T00:00:00Z,214118.16,21239736.25
2018-10-16T00:00:00Z,214118.16,21278718.79
2018-10-17T00:00:00Z,214118.16,21323339.21
2018-10-18T00:00:00Z,213379.92,21327340.08
2018-10-19T00:00:00Z,213379.92,21378952.18
2018-10-22T00:00:00Z,162125.63,21354810.41
2018-10-23T00:00:00Z,162125.63,21376858.16
2018-10-24T00:00:00Z,162125.63,21426240.54
2018-10-25T00:00:00Z,162125.63,21432919.15
2018-10-26T00:00:00Z,233688.73,21479071.18
2018-10-29T00:00:00Z,220401.55,21500463.59
2018-10-30T00:00:00Z,215464.42,21499721.96
2018-10-31T00:00:00Z,156194.59,21274487.29
2018-11-05T00:00:00Z,315730.01,21265471.17
2018-11-06T00:00:00Z,315730.01,21280583
2018-11-07T00:00:00Z,249963.62,21237040.71
2018-11-08T00:00:00Z,227487.72,21242026.44
2018-11-09T00:00:00Z,227487.72,21298011.78
2018-11-12T00:00:00Z,227329.39,21300470.35
2018-11-13T00:00:00Z,226079.43,21317799.52
2018-11-14T00:00:00Z,226079.43,21354197.56
2018-11-15T00:00:00Z,226079.43,21378092
2018-11-16T00:00:00Z,226079.43,21431607.9
2018-11-19T00:00:00Z,218948.39,21416776.65
2018-11-20T00:00:00Z,218948.39,21364183.71
2018-11-21T00:00:00Z,167654.19,21380388.36
2018-11-22T00:00:00Z,167654.19,21402475.71
2018-11-23T00:00:00Z,166810.86,21407810.37
2018-11-26T00:00:00Z,189214.07,21405703.82
2018-11-27T00:00:00Z,188278.87,21401776.37
2018-11-28T00:00:00Z,188278.87,21396300.09
2018-11-29T00:00:00Z,188278.87,21429721.27
2018-11-30T00:00:00Z,179800.05,21208891.73
2018-12-03T00:00:00Z,167977.58,21235847.97
2018-12-04T00:00:00Z,151168.9,21269828.59
2018-12-05T00:00:00Z,206635.79,21298010.56
2018-12-06T00:00:00Z,271421.98,21354822
2018-12-07T00:00:00Z,265702.26,21421616.38
2018-12-10T00:00:00Z,257185.69,21409728.99
2018-12-11T00:00:00Z,252019.16,21425372.73
2018-12-12T00:00:00Z,251731.2,21439532.61
2018-12-13T00:00:00Z,251731.2,21484995.12
2018-12-14T00:00:00Z,251731.2,21617797.76
2018-12-17T00:00:00Z,251731.2,21659319.89
2018-12-18T00:00:00Z,251731.2,21644500.04
2018-12-19T00:00:00Z,232421.85,21644269.15
2018-12-20T00:00:00Z,164787.53,21615467.21
2018-12-21T00:00:00Z,164787.53,21631310.68
2018-12-26T00:00:00Z,181173.43,21635001.15
2018-12-27T00:00:00Z,181173.43,21663997.5
2018-12-28T00:00:00Z,145066.32,21670341.42
2018-12-31T00:00:00Z,145066.32,21419821.76
2019-01-02T00:00:00Z,138455.19,21404919.97
2019-01-03T00:00:00Z,121973.01,21391802.28
2019-01-04T00:00:00Z,121973.01,21428055.25
2019-01-07T00:00:00Z,168674.57,21454441.79
2019-01-08T00:00:00Z,168674.57,21456428.14
2019-01-09T00:00:00Z,168674.57,21555447.33
2019-01-10T00:00:00Z,168674.57,21602474.02
2019-01-11T00:00:00Z,157143.32,21638856.83
2019-01-14T00:00:00Z,157143.32,21659214.16
2019-01-15T00:00:00Z,157143.32,21658964.16
2019-01-16T00:00:00Z,157143.32,21699624.99
2019-01-17T00:00:00Z,157143.32,21693116.9
2019-01-18T00:00:00Z,157143.32,21711201.12
2019-01-21T00:00:00Z,156964.52,21668805.55
2019-01-22T00:00:00Z,156964.52,21665444.38
2019-01-23T00:00:00Z,149466.76,21665504.55
2019-01-24T00:00:00Z,149466.76,21699098.12
2019-01-25T00:00:00Z,150085.34,21743686.65
2019-01-28T00:00:00Z,150085.34,21737037.55
2019-01-29T00:00:00Z,150085.34,21735773.08
2019-01-30T00:00:00Z,149887.12,21753915.68
2019-01-31T00:00:00Z,137294.41,21541306.91
2019-02-01T00:00:00Z,137294.41,21541301.9
2019-02-04T00:00:00Z,176080.38,21556707.82
2019-02-05T00:00:00Z,273413.43,21559650.01
2019-02-06T00:00:00Z,266413.57,21570832.55
2019-02-07T00:00:00Z,232757.96,21613098.45
2019-02-08T00:00:00Z,222757.96,21636834.36
2019-02-11T00:00:00Z,207143.05,21638250.03
2019-02-12T00:00:00Z,207143.05,21647578.99
2019-02-13T00:00:00Z,207143.05,21662963.95
2019-02-14T00:00:00Z,207143.05,21685458.5
2019-02-15T00:00:00Z,207143.05,21737249.02
2019-02-18T00:00:00Z,207143.05,21778807.08
2019-02-19T00:00:00Z,183936.13,21785976.86
2019-02-20T00:00:00Z,183936.13,21785131.64
2019-02-21T00:00:00Z,183936.13,21778190.58
2019-02-22T00:00:00Z,183936.13,21836407.33
2019-02-25T00:00:00Z,234277.64,21812818.95
2019-02-26T00:00:00Z,225358.14,21795179.33
2019-02-27T00:00:00Z,222524.87,21820656.58
2019-02-28T00:00:00Z,222524.87,21583600.53
2019-03-01T00:00:00Z,204758.37,21635919.43
2019-03-06T00:00:00Z,197516.52,21625117.82
2019-03-07T00:00:00Z,246845.58,21672418.84
2019-03-08T00:00:00Z,278051.86,21692377.17
